subject,date,group,culture,age,sex,season1_copies,s1_copybest,season2_copies,s2_copybest,season3_copies,s3_copybest,total_copies,copy_frequency_s1,copy_frequency_s2,copy_frequency_s3,copy_frequency_all,score_season1,score_season2,score_season3,score_s1_s2_averaged,rank_season1,rank_season2,rank_season3,rank_s1_s2_averaged,collectivist_average,individualist_average,horizontal_average,vertical_average,collectivist_reversed,individualist_reversed,horizontal_reversed,vertical_reversed,culture_numeric,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,s1_copybest_propofcopies,s1_copybest_propof29,s2_copybest_propofcopies,s3_copybest_propofcopies,s2_copybest_propof29,s3_copybest_propof29,s1s2_score,s1s2_copies,best_dem_S1S2,best_dem_S1,best_dem_S2,best_dem_S3,s1s2_score_weighted,s1_score_weighted,s2_score_weighted,s3_score_weighted
11,2B011  ,050213,SL       ,UK,19,Female,6,5,4,4,11,10,21,0.206896551724138,0.137931034482759,0.379310344827586,0.241379310344828,23789,24031.8,19091,23910.5,2,2,3,2,1.375,4.833333333,3.571428571,2.142857143,5.625,2.166666667,3.428571429,4.857142857,British,2,1,2,2,6,1,6,1,6,2,1,7,1,2,0.833333333333333,0.172413793103448,1,0.909090909090909,0.137931034482759,0.344827586206897,23910.4,5,24432,24974,25381,21214,0.978650949574329,0.952550652678786,0.946842125999764,0.899924578108796
12,2B012  ,050213,SL       ,UK,20,Female,6,6,6,6,4,3,16,0.206896551724138,0.206896551724138,0.137931034482759,0.183908045977011,24504.8,24233.8,21818.3,24369.5,2,2,1,2,2,3,2.285714286,2.571428571,5,4,4.714285714,4.428571429,British,2,2,2,1,3,2,3,1,2,3,3,3,3,4,1,0.206896551724138,1,0.75,0.206896551724138,0.103448275862069,24369.3,6,24432,24974,25381,21214,0.997433693516699,0.981212460959398,0.954800835270478,1.02848590553408
13,2B013  ,050213,SL       ,UK,20,Female,2,1,2,1,9,4,13,0.0689655172413793,0.0689655172413793,0.310344827586207,0.149425287356322,17247.9,21213.4,18831.4,19230.5,5,4,4,4.5,4,2.833333333,2.857142857,4.142857143,3,4.166666667,4.142857143,2.857142857,British,3,7,2,1,5,2,5,5,2,1,5,2,7,2,0.5,0.0344827586206897,0.5,0.444444444444444,0.0344827586206897,0.137931034482759,19230.65,2,24432,24974,25381,21214,0.78710911918795,0.690634259630015,0.835798431897876,0.88768737626096
14,2B014  ,050213,SL       ,UK,23,Female,17,17,29,29,29,23,75,0.586206896551724,1,1,0.862068965517241,23258,25119.2,21768.7,24188.5,3,2,1,2.5,3.625,4,2.428571429,5.142857143,3.375,3,4.571428571,1.857142857,British,3,6,5,2,6,2,2,3,2,6,3,3,5,5,1,0.586206896551724,1,0.793103448275862,1,0.793103448275862,24188.6,23,24432,24974,25381,21214,0.990037655533726,0.931288540081685,0.989685197588748,1.02614782690676
15,2B015  ,050213,SL       ,UK,22,Female,2,0,1,0,0,0,3,0.0689655172413793,0.0344827586206897,0,0.0344827586206897,21224,17527,15120.5,19375.5,5,5,6,5,2.75,2.833333333,2,3.571428571,4.25,4.166666667,5,3.428571429,British,4,3,1,2,3,1,1,2,3,2,2,1,7,7,0,0,0,NA,0,0,19375.5,1.5,24432,24974,25381,21214,0.793037819253438,0.849843837591095,0.690555927662425,0.712760441218064
16,2B016  ,050213,SL       ,UK,19,Female,5,5,4,4,8,8,17,0.172413793103448,0.137931034482759,0.275862068965517,0.195402298850575,25338.2,23359.6,21121.8,24349,1,2,2,1.5,2.25,3.166666667,1.714285714,3.571428571,4.75,3.833333333,5.285714286,3.428571429,British,3,3,2,2,4,1,2,3,2,4,1,1,3,6,1,0.172413793103448,1,1,0.137931034482759,0.275862068965517,24348.9,4.5,24432,24974,25381,21214,0.996598722986248,1.01458316649315,0.920357747921674,0.995653813519374
17,2B017  ,050213,SL       ,UK,18,Female,6,1,24,12,24,17,54,0.206896551724138,0.827586206896552,0.827586206896552,0.620689655172414,19168,22853.3,20037.7,21010.5,5,2,3,3.5,3.75,2.666666667,2.571428571,4,3.25,4.333333333,4.428571429,3,British,3,6,3,1,2,2,2,3,4,5,5,1,7,2,0.166666666666667,0.0344827586206897,0.5,0.708333333333333,0.413793103448276,0.586206896551724,21010.65,15,24432,24974,25381,21214,0.859964390962672,0.767518218947706,0.900409755328789,0.944550768360517
18,2B018  ,060213,SL       ,UK,18,Female,1,1,0,0,0,0,1,0.0344827586206897,0,0,0.0114942528735632,21027.6,23580,17208.7,22304,5,2,5,3.5,3.125,2.833333333,1.714285714,4.285714286,3.875,4.166666667,5.285714286,2.714285714,British,2,5,2,2,7,3,1,2,1,2,2,1,7,5,1,0.0344827586206897,NA,NA,0,0,22303.8,0.5,24432,24974,25381,21214,0.912892927308448,0.841979658845199,0.929041408927938,0.811195436975582
19,2B019  ,060213,SL       ,UK,20,Female,3,0,0,0,1,0,4,0.103448275862069,0,0.0344827586206897,0.0459770114942529,21512.9,20768.5,16200.3,21141,2,5,5,3.5,3.5,3,2.857142857,3.714285714,3.5,4,4.142857143,3.285714286,British,3,3,5,2,2,3,2,2,3,3,4,3,6,5,0,0,NA,0,0,0,21140.7,1.5,24432,24974,25381,21214,0.865287328094303,0.861411868343077,0.818269571726882,0.76366079004431
20,2B020  ,060213,SL       ,UK,18,Female,2,2,0,0,1,1,3,0.0689655172413793,0,0.0344827586206897,0.0344827586206897,24373.9,23427,18254.3,23900.5,2,2,4,2,3,3.166666667,2.285714286,3.857142857,4,3.833333333,4.714285714,3.142857143,British,2,3,3,2,4,2,2,4,2,5,3,3,5,3,1,0.0689655172413793,NA,1,0,0.0344827586206897,23900.45,1,24432,24974,25381,21214,0.978243696791094,0.975971009850244,0.923013277648635,0.860483642877345
21,2B021  ,060213,SL       ,UK,20,Female,3,2,1,1,6,2,10,0.103448275862069,0.0344827586206897,0.206896551724138,0.114942528735632,20991.6,24547.4,19353.9,22769.5,5,2,3,3.5,1.375,2.166666667,1.571428571,1.857142857,5.625,4.833333333,5.428571429,5.142857143,British,2,1,2,1,4,1,2,1,2,1,1,2,2,2,0.666666666666667,0.0689655172413793,1,0.333333333333333,0.0344827586206897,0.0689655172413793,22769.5,2,24432,24974,25381,21214,0.931953994760969,0.840538159686073,0.967156534415508,0.912317337607241
22,2B022  ,060213,SL       ,UK,19,Female,4,3,4,2,5,4,13,0.137931034482759,0.137931034482759,0.172413793103448,0.149425287356322,24924.8,22433.6,20500.1,23679.5,2,2,3,2,2.5,3.5,2.714285714,3.142857143,4.5,3.5,4.285714286,3.857142857,British,3,3,3,2,2,2,3,2,4,3,2,3,3,6,0.75,0.103448275862069,0.5,0.8,0.0689655172413793,0.137931034482759,23679.2,4,24432,24974,25381,21214,0.969187950229207,0.998029951149195,0.883873763839092,0.96634769491845
23,2B023  ,60213 ,SL       ,UK,19,Female,4,1,0,0,9,1,13,0.137931034482759,0,0.310344827586207,0.149425287356322,21905.3,24179.9,17720.3,23042.5,5,2,5,3.5,2.625,2.666666667,2,3.285714286,4.375,4.333333333,5,3.714285714,British,3,5,4,1,1,3,1,2,3,4,1,2,2,5,0.25,0.0344827586206897,NA,0.111111111111111,0,0.0344827586206897,23042.6,2,24432,24974,25381,21214,0.943131958087754,0.877124209177545,0.952677199479926,0.835311586688036
24,2B024  ,120213,SL       ,UK,19,Female,1,1,5,5,8,8,14,0.0344827586206897,0.172413793103448,0.275862068965517,0.160919540229885,25757.3,23975.5,18934,24866.5,1,2,4,1.5,3,3,2.714285714,3.285714286,4,4,4.285714286,3.714285714,British,2,7,3,2,2,1,3,1,3,2,3,5,5,3,1,0.0344827586206897,1,1,0.172413793103448,0.275862068965517,24866.4,3,24432,24974,25381,21214,1.01777996070727,1.03136461920397,0.944623931287183,0.892523805034411
25,2B025  ,120213,SL       ,UK,19,Female,5,5,7,7,7,6,19,0.172413793103448,0.241379310344828,0.241379310344828,0.218390804597701,24207.1,24223.3,19451.8,24215,2,2,3,2,3.125,2.666666667,1.857142857,4,3.875,4.333333333,5.142857143,3,British,2,3,5,3,5,2,1,2,1,3,3,1,5,5,1,0.172413793103448,1,0.857142857142857,0.241379310344828,0.206896551724138,24215.2,6,24432,24974,25381,21214,0.991126391617551,0.969292063746296,0.954387139986604,0.91693221457528
26,2B026  ,120213,SL       ,UK,19,Female,1,1,2,2,2,2,5,0.0344827586206897,0.0689655172413793,0.0689655172413793,0.0574712643678161,19791.6,24476.5,20573.6,22134.5,5,2,3,3.5,3.125,3.5,3.285714286,3.285714286,3.875,3.5,3.714285714,3.714285714,British,2,4,3,2,4,4,4,2,3,3,4,4,4,3,1,0.0344827586206897,1,1,0.0689655172413793,0.0689655172413793,22134.05,1.5,24432,24974,25381,21214,0.905945072036673,0.792488187715224,0.964363106260589,0.96981238804563
27,2B027  ,120213,SL       ,UK,20,Female,5,5,6,6,5,5,16,0.172413793103448,0.206896551724138,0.172413793103448,0.183908045977011,24510.6,24784.1,19916.5,24647.5,2,2,3,2,2.375,3.333333333,3.142857143,2.428571429,4.625,3.666666667,3.857142857,4.571428571,British,2,5,1,1,2,1,5,1,5,3,5,3,3,2,1,0.172413793103448,1,1,0.206896551724138,0.172413793103448,24647.35,5.5,24432,24974,25381,21214,1.0088142599869,0.98144470249059,0.976482408100548,0.93883756010182
28,2B028  ,120213,SL       ,UK,19,Female,0,0,1,1,2,1,3,0,0.0344827586206897,0.0689655172413793,0.0344827586206897,22103.9,21551.9,20841.8,21828,5,4,2,4.5,2.875,3,2.428571429,3.428571429,4.125,4,4.571428571,3.571428571,British,3,4,2,2,3,1,2,3,3,3,3,3,5,4,NA,0,1,0.5,0.0344827586206897,0.0344827586206897,21827.9,0.5,24432,24974,25381,21214,0.893414374590701,0.88507647953872,0.84913517985895,0.982454982558688
29,2B029  ,120213,SL       ,UK,24,Female,12,10,4,4,11,11,27,0.413793103448276,0.137931034482759,0.379310344827586,0.310344827586207,23830.2,23610,19858.8,23720,2,2,3,2,3.25,3.666666667,2.857142857,4,3.75,3.333333333,4.142857143,3,British,2,6,5,2,5,2,3,1,3,3,3,5,5,3,0.833333333333333,0.344827586206897,1,1,0.137931034482759,0.379310344827586,23720.1,8,24432,24974,25381,21214,0.970861984282908,0.954200368383119,0.930223395453292,0.936117658150278
30,2B030  ,120213,SL       ,UK,21,Female,5,5,25,24,17,14,47,0.172413793103448,0.862068965517241,0.586206896551724,0.540229885057471,21601.9,24232,19878.4,22917,5,2,3,3.5,1.75,2.333333333,1.714285714,2.285714286,5.25,4.666666667,5.285714286,4.714285714,British,1,2,2,2,3,1,1,1,2,3,2,3,3,2,1,0.172413793103448,0.96,0.823529411764706,0.827586206896552,0.482758620689655,22916.95,15,24432,24974,25381,21214,0.937989112639162,0.864975574597582,0.954729916078957,0.937041576317526
31,2B031  ,120213,SL       ,UK,20,Female,2,2,3,3,1,0,6,0.0689655172413793,0.103448275862069,0.0344827586206897,0.0689655172413793,21402.7,19645.8,19104.9,20524.5,5,5,3,5,2.75,3,3.142857143,2.571428571,4.25,4,3.857142857,4.428571429,British,3,3,2,1,2,2,4,3,5,1,3,4,5,2,1,0.0689655172413793,1,0,0.103448275862069,0,20524.25,2.5,24432,24974,25381,21214,0.84005607400131,0.856999279250421,0.774035695993066,0.90057980578863
32,2B032  ,120213,SL       ,UK,19,Female,3,3,6,5,9,9,18,0.103448275862069,0.206896551724138,0.310344827586207,0.206896551724138,24715.4,23248.3,20170.9,23981.5,2,2,3,2,3.375,2.666666667,2.714285714,3.428571429,3.625,4.333333333,4.285714286,3.571428571,British,5,5,3,3,3,2,2,3,3,3,2,2,4,3,1,0.103448275862069,0.833333333333333,1,0.172413793103448,0.310344827586207,23981.85,4.5,24432,24974,25381,21214,0.981575392927308,0.989645231040282,0.915972577912612,0.950829640803243
33,2B033  ,130213,SL       ,UK,21,Female,3,3,0,0,7,6,10,0.103448275862069,0,0.241379310344828,0.114942528735632,20059.5,24263.5,19221.4,22162,5,2,3,3.5,1.5,2.666666667,1.428571429,2.571428571,5.5,4.333333333,5.571428571,4.428571429,British,2,2,1,1,4,1,2,1,2,4,1,1,3,3,1,0.103448275862069,NA,0.857142857142857,0,0.206896551724138,22161.5,1.5,24432,24974,25381,21214,0.907068598559267,0.803215343957716,0.955971001930578,0.906071462241916
34,2B034  ,130213,SL       ,UK,19,Female,1,1,2,2,3,2,6,0.0344827586206897,0.0689655172413793,0.103448275862069,0.0689655172413793,23707.5,25472.8,20047.7,24590.5,2,1,3,1.5,1.5,2.5,1.571428571,2.285714286,5.5,4.5,5.428571429,4.714285714,British,1,2,1,1,4,2,2,1,2,3,1,2,3,2,1,0.0344827586206897,1,0.666666666666667,0.0689655172413793,0.0689655172413793,24590.15,1.5,24432,24974,25381,21214,1.0064730681074,0.949287258749099,1.00361687876758,0.945022155180541
35,2B035  ,130213,SL       ,UK,21,Female,2,2,3,2,2,2,7,0.0689655172413793,0.103448275862069,0.0689655172413793,0.0804597701149425,21962.4,21267.3,20862.7,21614.5,5,4,2,4.5,3.5,2.666666667,1.857142857,4.428571429,3.5,4.333333333,5.142857143,2.571428571,British,2,5,6,2,5,2,2,1,1,2,3,1,7,5,1,0.0689655172413793,0.666666666666667,1,0.0689655172413793,0.0689655172413793,21614.85,2.5,24432,24974,25381,21214,0.884694253438114,0.879410587010491,0.837922067688428,0.983440181012539
36,2B036  ,130213,SL       ,UK,18,Female,2,2,0,0,0,0,2,0.0689655172413793,0,0,0.0229885057471264,16998.6,22201.2,17915.5,19600,5,3,5,4,2.625,2.333333333,2.571428571,2.428571429,4.375,4.666666667,4.428571429,4.571428571,British,2,3,3,2,2,2,2,2,2,2,4,4,3,2,1,0.0689655172413793,NA,NA,0,0,19599.9,1,24432,24974,25381,21214,0.802222495088409,0.680651877953071,0.874717308222686,0.844513057414915
37,2B037  ,130213,SL       ,UK,25,Female,0,0,0,0,0,0,0,0,0,0,0,22335.3,18999,16328.6,20667,4,5,6,4.5,3.625,2.5,1.714285714,4.571428571,3.375,4.5,5.285714286,2.428571429,British,3,7,3,1,3,2,1,4,2,4,2,1,7,4,NA,0,NA,NA,0,0,20667.15,0,24432,24974,25381,21214,0.845904960707269,0.894342115800432,0.748552066506442,0.769708682945225
38,2B038  ,130213,SL       ,UK,18,Female,5,4,0,0,8,6,13,0.172413793103448,0,0.275862068965517,0.149425287356322,25249.1,21628.1,21414.8,23438.5,1,3,1,2,2.625,2.5,2.142857143,3,4.375,4.5,4.857142857,4,British,2,2,3,1,2,2,2,3,3,2,2,3,6,3,0.8,0.137931034482759,NA,0.75,0,0.206896551724138,23438.6,2.5,24432,24974,25381,21214,0.959340209561231,1.01101545607432,0.852137425633348,1.00946544734609
39,2B039  ,130213,SL       ,UK,21,Female,4,3,2,2,2,2,8,0.137931034482759,0.0689655172413793,0.0689655172413793,0.0919540229885057,22769.3,22977.2,19785.7,22873,3,2,3,2.5,3.25,3.166666667,2.714285714,3.714285714,3.75,3.833333333,4.285714286,3.285714286,British,2,5,1,2,2,2,3,4,3,4,5,2,5,5,0.75,0.103448275862069,1,1,0.0689655172413793,0.0689655172413793,22873.25,3,24432,24974,25381,21214,0.936200474787164,0.911720188996556,0.9052913596785,0.932671820495899
40,2B040  ,130213,SL       ,UK,18,Female,29,28,29,28,29,29,87,1,1,1,1,24232.2,25189.4,20785.8,24710.5,2,2,2,2,2.625,3.833333333,2.714285714,3.571428571,4.375,3.166666667,4.285714286,3.428571429,British,3,3,3,1,3,1,5,4,3,5,3,3,3,4,0.96551724137931,0.96551724137931,0.96551724137931,1,0.96551724137931,1,24710.8,29,24432,24974,25381,21214,1.01141126391618,0.970297108993353,0.992451046058075,0.97981521636655
41,1B001  ,040213,SL       ,UK,21,Male,0,0,0,0,2,2,2,0,0,0.0689655172413793,0.0229885057471264,20144.6,20013.1,18064.9,20079,5,5,4,5,4.25,2.833333333,3.571428571,3.714285714,2.75,4.166666667,3.428571429,3.285714286,British,3,6,5,4,2,3,4,3,3,3,5,3,5,2,NA,0,NA,1,0,0.0689655172413793,20078.85,0,24432,24974,25381,21214,0.821825884086444,0.806622887803315,0.788507151018478,0.851555576506081
42,1B002  ,040213,SL       ,UK,19,Male,1,1,0,0,0,0,1,0.0344827586206897,0,0,0.0114942528735632,25042.6,20423,23071.9,22733,1,5,1,3,2.375,2.166666667,1.857142857,2.714285714,4.625,4.833333333,5.142857143,4.285714286,British,2,2,2,1,1,1,1,2,2,4,4,2,5,3,1,0.0344827586206897,NA,NA,0,0,22732.8,0.5,24432,24974,25381,21214,0.930451866404715,1.002746856731,0.804657026909893,1.08757895729235
43,1B003  ,040213,SL       ,UK,20,Male,7,7,0,0,13,8,20,0.241379310344828,0,0.448275862068966,0.229885057471264,22385.5,24115.6,20435.8,23251,4,2,3,3,3,3.333333333,2.714285714,3.571428571,4,3.666666667,4.285714286,3.428571429,British,6,2,2,1,6,2,1,2,3,3,4,2,5,5,1,0.241379310344828,NA,0.615384615384615,0,0.275862068965517,23250.55,3.5,24432,24974,25381,21214,0.951643336607727,0.896352206294546,0.950143808360585,0.963316677665692
44,1B004  ,40213 ,SL       ,UK,20,Male,0,0,0,0,0,0,0,0,0,0,0,16228.8,16196.6,19942.2,16213,5,6,3,5.5,3.625,1.5,2.142857143,3.285714286,3.375,5.5,4.857142857,3.714285714,British,2,6,4,3,1,2,3,3,2,1,2,1,7,1,NA,0,NA,NA,0,0,16212.7,0,24432,24974,25381,21214,0.663584643091028,0.649827820933771,0.638138765218077,0.940049024229283
45,1B005  ,040213,SL       ,UK,19,Male,2,2,2,2,1,1,5,0.0689655172413793,0.0689655172413793,0.0344827586206897,0.0574712643678161,24457.5,24072,21594.8,24265,2,2,1,2,2.25,3.666666667,2.714285714,3,4.75,3.333333333,4.285714286,4,British,3,3,2,3,5,1,3,1,3,2,3,3,2,6,1,0.0689655172413793,1,1,0.0689655172413793,0.0344827586206897,24264.75,2,24432,24974,25381,21214,0.993154469548134,0.97931849123088,0.948425987943737,1.01795041010653
